COU,Country,MAREG,Macroregion,MIREG,Microregion,VAR,Variable,YEA,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUT,Austria,TOTAL,-Total-,TOTAL,-Total-,SPOP_W,Percentage of population covered,2017,2017,PC,Percentage,0,Units,,,100,,
BEL,Belgium,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,13.09935,,
BEL,Belgium,TOTAL,-Total-,TOTAL,-Total-,SPEX_10,Percentage of population exposed to more than 10 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,93.53039,,
BEL,Belgium,TOTAL,-Total-,TOTAL,-Total-,SPEX_15,Percentage of population exposed to more than 15 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,11.91472,,
BEL,Belgium,TOTAL,-Total-,TOTAL,-Total-,SPEX_25,Percentage of population exposed to more than 25 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
BEL,Belgium,TOTAL,-Total-,TOTAL,-Total-,SPEX_35,Percentage of population exposed to more than 35 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
BEL,Belgium,TOTAL,-Total-,TOTAL,-Total-,SPOP_W,Percentage of population covered,2017,2017,PC,Percentage,0,Units,,,100,,
CAN,Canada,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,6.45931,,
CAN,Canada,TOTAL,-Total-,TOTAL,-Total-,SPEX_10,Percentage of population exposed to more than 10 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
CAN,Canada,TOTAL,-Total-,TOTAL,-Total-,SPEX_15,Percentage of population exposed to more than 15 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
CAN,Canada,TOTAL,-Total-,TOTAL,-Total-,SPEX_25,Percentage of population exposed to more than 25 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
CAN,Canada,TOTAL,-Total-,TOTAL,-Total-,SPEX_35,Percentage of population exposed to more than 35 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
CAN,Canada,TOTAL,-Total-,TOTAL,-Total-,SPOP_W,Percentage of population covered,2017,2017,PC,Percentage,0,Units,,,99.87376,,
CZE,Czech Republic,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,16.21481,,
CZE,Czech Republic,TOTAL,-Total-,TOTAL,-Total-,SPEX_10,Percentage of population exposed to more than 10 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,99.89145,,
CZE,Czech Republic,TOTAL,-Total-,TOTAL,-Total-,SPEX_15,Percentage of population exposed to more than 15 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,57.0755,,
CZE,Czech Republic,TOTAL,-Total-,TOTAL,-Total-,SPEX_25,Percentage of population exposed to more than 25 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,5.11173,,
CZE,Czech Republic,TOTAL,-Total-,TOTAL,-Total-,SPEX_35,Percentage of population exposed to more than 35 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
CZE,Czech Republic,TOTAL,-Total-,TOTAL,-Total-,SPOP_W,Percentage of population covered,2017,2017,PC,Percentage,0,Units,,,100,,
DNK,Denmark,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,10.35431,,
DNK,Denmark,TOTAL,-Total-,TOTAL,-Total-,SPEX_10,Percentage of population exposed to more than 10 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,62.66125,,
DNK,Denmark,TOTAL,-Total-,TOTAL,-Total-,SPEX_15,Percentage of population exposed to more than 15 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
DNK,Denmark,TOTAL,-Total-,TOTAL,-Total-,SPEX_25,Percentage of population exposed to more than 25 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
DNK,Denmark,TOTAL,-Total-,TOTAL,-Total-,SPEX_35,Percentage of population exposed to more than 35 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
DNK,Denmark,TOTAL,-Total-,TOTAL,-Total-,SPOP_W,Percentage of population covered,2017,2017,PC,Percentage,0,Units,,,99.70876,,
FIN,Finland,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,5.90603,,
FIN,Finland,TOTAL,-Total-,TOTAL,-Total-,SPEX_10,Percentage of population exposed to more than 10 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
FIN,Finland,TOTAL,-Total-,TOTAL,-Total-,SPEX_15,Percentage of population exposed to more than 15 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
FIN,Finland,TOTAL,-Total-,TOTAL,-Total-,SPEX_25,Percentage of population exposed to more than 25 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
FIN,Finland,TOTAL,-Total-,TOTAL,-Total-,SPEX_35,Percentage of population exposed to more than 35 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
FIN,Finland,TOTAL,-Total-,TOTAL,-Total-,SPOP_W,Percentage of population covered,2017,2017,PC,Percentage,0,Units,,,99.88222,,
FRA,France,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,11.95962,,
FRA,France,TOTAL,-Total-,TOTAL,-Total-,SPEX_10,Percentage of population exposed to more than 10 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,79.83072,,
FRA,France,TOTAL,-Total-,TOTAL,-Total-,SPEX_15,Percentage of population exposed to more than 15 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,10.75117,,
FRA,France,TOTAL,-Total-,TOTAL,-Total-,SPEX_25,Percentage of population exposed to more than 25 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
FRA,France,TOTAL,-Total-,TOTAL,-Total-,SPEX_35,Percentage of population exposed to more than 35 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
FRA,France,TOTAL,-Total-,TOTAL,-Total-,SPOP_W,Percentage of population covered,2017,2017,PC,Percentage,0,Units,,,99.87114,,
DEU,Germany,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,12.08939,,
DEU,Germany,TOTAL,-Total-,TOTAL,-Total-,SPEX_10,Percentage of population exposed to more than 10 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,90.30647,,
DEU,Germany,TOTAL,-Total-,TOTAL,-Total-,SPEX_15,Percentage of population exposed to more than 15 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,8.64635,,
DEU,Germany,TOTAL,-Total-,TOTAL,-Total-,SPEX_25,Percentage of population exposed to more than 25 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
DEU,Germany,TOTAL,-Total-,TOTAL,-Total-,SPEX_35,Percentage of population exposed to more than 35 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
DEU,Germany,TOTAL,-Total-,TOTAL,-Total-,SPOP_W,Percentage of population covered,2017,2017,PC,Percentage,0,Units,,,99.99485,,
GRC,Greece,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,16.47663,,
GRC,Greece,TOTAL,-Total-,TOTAL,-Total-,SPEX_10,Percentage of population exposed to more than 10 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,99.57245,,
GRC,Greece,TOTAL,-Total-,TOTAL,-Total-,SPEX_15,Percentage of population exposed to more than 15 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,59.26267,,
GRC,Greece,TOTAL,-Total-,TOTAL,-Total-,SPEX_25,Percentage of population exposed to more than 25 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,4.07902,,
GRC,Greece,TOTAL,-Total-,TOTAL,-Total-,SPEX_35,Percentage of population exposed to more than 35 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0.1256,,
GRC,Greece,TOTAL,-Total-,TOTAL,-Total-,SPOP_W,Percentage of population covered,2017,2017,PC,Percentage,0,Units,,,99.77617,,
HUN,Hungary,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,16.08462,,
HUN,Hungary,TOTAL,-Total-,TOTAL,-Total-,SPEX_10,Percentage of population exposed to more than 10 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,100,,
HUN,Hungary,TOTAL,-Total-,TOTAL,-Total-,SPEX_15,Percentage of population exposed to more than 15 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,61.81872,,
HUN,Hungary,TOTAL,-Total-,TOTAL,-Total-,SPEX_25,Percentage of population exposed to more than 25 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
HUN,Hungary,TOTAL,-Total-,TOTAL,-Total-,SPEX_35,Percentage of population exposed to more than 35 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
HUN,Hungary,TOTAL,-Total-,TOTAL,-Total-,SPOP_W,Percentage of population covered,2017,2017,PC,Percentage,0,Units,,,100,,
ISL,Iceland,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,6.78283,,
ISL,Iceland,TOTAL,-Total-,TOTAL,-Total-,SPEX_10,Percentage of population exposed to more than 10 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,5.74444,,
ISL,Iceland,TOTAL,-Total-,TOTAL,-Total-,SPEX_15,Percentage of population exposed to more than 15 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
ISL,Iceland,TOTAL,-Total-,TOTAL,-Total-,SPEX_25,Percentage of population exposed to more than 25 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
ISL,Iceland,TOTAL,-Total-,TOTAL,-Total-,SPEX_35,Percentage of population exposed to more than 35 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
ISL,Iceland,TOTAL,-Total-,TOTAL,-Total-,SPOP_W,Percentage of population covered,2017,2017,PC,Percentage,0,Units,,,89.19814,,
IRL,Ireland,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,8.27177,,
IRL,Ireland,TOTAL,-Total-,TOTAL,-Total-,SPEX_10,Percentage of population exposed to more than 10 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,2.31018,,
IRL,Ireland,TOTAL,-Total-,TOTAL,-Total-,SPEX_15,Percentage of population exposed to more than 15 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
IRL,Ireland,TOTAL,-Total-,TOTAL,-Total-,SPEX_25,Percentage of population exposed to more than 25 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
IRL,Ireland,TOTAL,-Total-,TOTAL,-Total-,SPEX_35,Percentage of population exposed to more than 35 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
IRL,Ireland,TOTAL,-Total-,TOTAL,-Total-,SPOP_W,Percentage of population covered,2017,2017,PC,Percentage,0,Units,,,99.68452,,
ITA,Italy,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,16.4971,,
ITA,Italy,TOTAL,-Total-,TOTAL,-Total-,SPEX_10,Percentage of population exposed to more than 10 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,94.66711,,
ITA,Italy,TOTAL,-Total-,TOTAL,-Total-,SPEX_15,Percentage of population exposed to more than 15 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,52.44979,,
ITA,Italy,TOTAL,-Total-,TOTAL,-Total-,SPEX_25,Percentage of population exposed to more than 25 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,6.30354,,
ITA,Italy,TOTAL,-Total-,TOTAL,-Total-,SPEX_35,Percentage of population exposed to more than 35 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
ITA,Italy,TOTAL,-Total-,TOTAL,-Total-,SPOP_W,Percentage of population covered,2017,2017,PC,Percentage,0,Units,,,99.8052,,
JPN,Japan,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,11.86181,,
JPN,Japan,TOTAL,-Total-,TOTAL,-Total-,SPEX_10,Percentage of population exposed to more than 10 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,80.62767,,
JPN,Japan,TOTAL,-Total-,TOTAL,-Total-,SPEX_15,Percentage of population exposed to more than 15 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,10.26981,,
JPN,Japan,TOTAL,-Total-,TOTAL,-Total-,SPEX_25,Percentage of population exposed to more than 25 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
JPN,Japan,TOTAL,-Total-,TOTAL,-Total-,SPEX_35,Percentage of population exposed to more than 35 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
JPN,Japan,TOTAL,-Total-,TOTAL,-Total-,SPOP_W,Percentage of population covered,2017,2017,PC,Percentage,0,Units,,,99.64713,,
KOR,Korea,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,25.13889,,
KOR,Korea,TOTAL,-Total-,TOTAL,-Total-,SPEX_10,Percentage of population exposed to more than 10 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,99.24036,,
KOR,Korea,TOTAL,-Total-,TOTAL,-Total-,SPEX_15,Percentage of population exposed to more than 15 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,99.24036,,
KOR,Korea,TOTAL,-Total-,TOTAL,-Total-,SPEX_25,Percentage of population exposed to more than 25 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,55.12509,,
KOR,Korea,TOTAL,-Total-,TOTAL,-Total-,SPEX_35,Percentage of population exposed to more than 35 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
KOR,Korea,TOTAL,-Total-,TOTAL,-Total-,SPOP_W,Percentage of population covered,2017,2017,PC,Percentage,0,Units,,,99.34816,,
LUX,Luxembourg,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,10.17904,,
LUX,Luxembourg,TOTAL,-Total-,TOTAL,-Total-,SPEX_10,Percentage of population exposed to more than 10 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,73.00153,,
LUX,Luxembourg,TOTAL,-Total-,TOTAL,-Total-,SPEX_15,Percentage of population exposed to more than 15 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
LUX,Luxembourg,TOTAL,-Total-,TOTAL,-Total-,SPEX_25,Percentage of population exposed to more than 25 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
LUX,Luxembourg,TOTAL,-Total-,TOTAL,-Total-,SPEX_35,Percentage of population exposed to more than 35 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
LUX,Luxembourg,TOTAL,-Total-,TOTAL,-Total-,SPOP_W,Percentage of population covered,2017,2017,PC,Percentage,0,Units,,,100,,
MEX,Mexico,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,21.23615,,
MEX,Mexico,TOTAL,-Total-,TOTAL,-Total-,SPEX_10,Percentage of population exposed to more than 10 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,99.64624,,
MEX,Mexico,TOTAL,-Total-,TOTAL,-Total-,SPEX_15,Percentage of population exposed to more than 15 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,88.57989,,
MEX,Mexico,TOTAL,-Total-,TOTAL,-Total-,SPEX_25,Percentage of population exposed to more than 25 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,20.73432,,
MEX,Mexico,TOTAL,-Total-,TOTAL,-Total-,SPEX_35,Percentage of population exposed to more than 35 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,1.55093,,
MEX,Mexico,TOTAL,-Total-,TOTAL,-Total-,SPOP_W,Percentage of population covered,2017,2017,PC,Percentage,0,Units,,,99.97039,,
NLD,Netherlands,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,12.086,,
NLD,Netherlands,TOTAL,-Total-,TOTAL,-Total-,SPEX_10,Percentage of population exposed to more than 10 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,99.52885,,
NLD,Netherlands,TOTAL,-Total-,TOTAL,-Total-,SPEX_15,Percentage of population exposed to more than 15 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0.04041,,
NLD,Netherlands,TOTAL,-Total-,TOTAL,-Total-,SPEX_25,Percentage of population exposed to more than 25 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
NLD,Netherlands,TOTAL,-Total-,TOTAL,-Total-,SPEX_35,Percentage of population exposed to more than 35 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
NLD,Netherlands,TOTAL,-Total-,TOTAL,-Total-,SPOP_W,Percentage of population covered,2017,2017,PC,Percentage,0,Units,,,99.98353,,
NZL,New Zealand,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,5.99181,,
NZL,New Zealand,TOTAL,-Total-,TOTAL,-Total-,SPEX_10,Percentage of population exposed to more than 10 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
NZL,New Zealand,TOTAL,-Total-,TOTAL,-Total-,SPEX_15,Percentage of population exposed to more than 15 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
NZL,New Zealand,TOTAL,-Total-,TOTAL,-Total-,SPEX_25,Percentage of population exposed to more than 25 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
NZL,New Zealand,TOTAL,-Total-,TOTAL,-Total-,SPEX_35,Percentage of population exposed to more than 35 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
NZL,New Zealand,TOTAL,-Total-,TOTAL,-Total-,SPOP_W,Percentage of population covered,2017,2017,PC,Percentage,0,Units,,,99.9056,,
NOR,Norway,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,7.0458,,
NOR,Norway,TOTAL,-Total-,TOTAL,-Total-,SPEX_10,Percentage of population exposed to more than 10 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,3.82107,,
NOR,Norway,TOTAL,-Total-,TOTAL,-Total-,SPEX_15,Percentage of population exposed to more than 15 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
NOR,Norway,TOTAL,-Total-,TOTAL,-Total-,SPEX_25,Percentage of population exposed to more than 25 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
NOR,Norway,TOTAL,-Total-,TOTAL,-Total-,SPEX_35,Percentage of population exposed to more than 35 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
NOR,Norway,TOTAL,-Total-,TOTAL,-Total-,SPOP_W,Percentage of population covered,2017,2017,PC,Percentage,0,Units,,,97.31458,,
POL,Poland,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,20.94327,,
POL,Poland,TOTAL,-Total-,TOTAL,-Total-,SPEX_10,Percentage of population exposed to more than 10 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,99.94197,,
POL,Poland,TOTAL,-Total-,TOTAL,-Total-,SPEX_15,Percentage of population exposed to more than 15 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,87.34877,,
POL,Poland,TOTAL,-Total-,TOTAL,-Total-,SPEX_25,Percentage of population exposed to more than 25 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,19.78183,,
POL,Poland,TOTAL,-Total-,TOTAL,-Total-,SPEX_35,Percentage of population exposed to more than 35 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0.78786,,
POL,Poland,TOTAL,-Total-,TOTAL,-Total-,SPOP_W,Percentage of population covered,2017,2017,PC,Percentage,0,Units,,,99.99322,,
PRT,Portugal,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,8.12088,,
PRT,Portugal,TOTAL,-Total-,TOTAL,-Total-,SPEX_10,Percentage of population exposed to more than 10 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,15.06532,,
PRT,Portugal,TOTAL,-Total-,TOTAL,-Total-,SPEX_15,Percentage of population exposed to more than 15 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
PRT,Portugal,TOTAL,-Total-,TOTAL,-Total-,SPEX_25,Percentage of population exposed to more than 25 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
PRT,Portugal,TOTAL,-Total-,TOTAL,-Total-,SPEX_35,Percentage of population exposed to more than 35 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
PRT,Portugal,TOTAL,-Total-,TOTAL,-Total-,SPOP_W,Percentage of population covered,2017,2017,PC,Percentage,0,Units,,,97.51836,,
SVK,Slovak Republic,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,17.93355,,
SVK,Slovak Republic,TOTAL,-Total-,TOTAL,-Total-,SPEX_10,Percentage of population exposed to more than 10 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,100,,
SVK,Slovak Republic,TOTAL,-Total-,TOTAL,-Total-,SPEX_15,Percentage of population exposed to more than 15 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,92.10104,,
SVK,Slovak Republic,TOTAL,-Total-,TOTAL,-Total-,SPEX_25,Percentage of population exposed to more than 25 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
SVK,Slovak Republic,TOTAL,-Total-,TOTAL,-Total-,SPEX_35,Percentage of population exposed to more than 35 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
SVK,Slovak Republic,TOTAL,-Total-,TOTAL,-Total-,SPOP_W,Percentage of population covered,2017,2017,PC,Percentage,0,Units,,,100,,
ESP,Spain,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,9.91419,,
ESP,Spain,TOTAL,-Total-,TOTAL,-Total-,SPEX_10,Percentage of population exposed to more than 10 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,46.36139,,
ESP,Spain,TOTAL,-Total-,TOTAL,-Total-,SPEX_15,Percentage of population exposed to more than 15 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,1.762,,
ESP,Spain,TOTAL,-Total-,TOTAL,-Total-,SPEX_25,Percentage of population exposed to more than 25 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0.24121,,
ESP,Spain,TOTAL,-Total-,TOTAL,-Total-,SPEX_35,Percentage of population exposed to more than 35 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
ESP,Spain,TOTAL,-Total-,TOTAL,-Total-,SPOP_W,Percentage of population covered,2017,2017,PC,Percentage,0,Units,,,99.78003,,
SWE,Sweden,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,6.13443,,
SWE,Sweden,TOTAL,-Total-,TOTAL,-Total-,SPEX_10,Percentage of population exposed to more than 10 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,2.96387,,
SWE,Sweden,TOTAL,-Total-,TOTAL,-Total-,SPEX_15,Percentage of population exposed to more than 15 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
SWE,Sweden,TOTAL,-Total-,TOTAL,-Total-,SPEX_25,Percentage of population exposed to more than 25 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
SWE,Sweden,TOTAL,-Total-,TOTAL,-Total-,SPEX_35,Percentage of population exposed to more than 35 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
SWE,Sweden,TOTAL,-Total-,TOTAL,-Total-,SPOP_W,Percentage of population covered,2017,2017,PC,Percentage,0,Units,,,99.6114,,
CHE,Switzerland,TOTAL,-Total-,TOTAL,-Total-,PWM_EX,Mean population exposure to PM2.5,2017,2017,MICRO_M3,Micrograms per cubic metre,0,Units,,,10.44407,,
CHE,Switzerland,TOTAL,-Total-,TOTAL,-Total-,SPEX_10,Percentage of population exposed to more than 10 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,54.00228,,
CHE,Switzerland,TOTAL,-Total-,TOTAL,-Total-,SPEX_15,Percentage of population exposed to more than 15 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,1.92206,,
CHE,Switzerland,TOTAL,-Total-,TOTAL,-Total-,SPEX_25,Percentage of population exposed to more than 25 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
CHE,Switzerland,TOTAL,-Total-,TOTAL,-Total-,SPEX_35,Percentage of population exposed to more than 35 micrograms/m3,2017,2017,PC,Percentage,0,Units,,,0,,
